Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESiDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.15158074,38.70770064,965,Misericordia,"21969: R Dom Luis I, 34",Papel e Cartao,CV0240,240,1,240
-9.15158074,38.70770064,966,Misericordia,"21969: R Dom Luis I, 34",Embalagens,CV0090,90,1,90
-9.144441604,38.70933007,715,Misericordia,"21854: R Emenda, 41-43-45-47",Papel e Cartao,CV0140,140,1,140
-9.144441604,38.70933007,716,Misericordia,"21854: R Emenda, 41-43-45-47",Vidro,CV0240,240,1,240
-9.144441604,38.70933007,717,Misericordia,"21854: R Emenda, 41-43-45-47",Embalagens,CV0140,140,1,140
-9.144083429,38.71164819,897,Misericordia,"21938: R Diario de Noticias, 40-A",Organicos,CV0240,240,1,240
-9.143292489,38.70773663,951,Misericordia,"21961: R do Alecrim, 24",Embalagens,CV0090,90,1,90
-9.147315299,38.71173725,736,Misericordia,"21866: R O Seculo, 12",Papel e Cartao,CV0090,90,1,90
-9.147315299,38.71173725,737,Misericordia,"21866: R O Seculo, 12",Organicos,CV0090,90,1,90
-9.147315299,38.71173725,738,Misericordia,"21866: R O Seculo, 12",Vidro,CV0090,90,1,90
-9.147315299,38.71173725,739,Misericordia,"21866: R O Seculo, 12",Embalagens,CV0090,90,1,90
-9.147315299,38.71173725,740,Misericordia,"21866: R O Seculo, 12",Lixos,CV0090,90,1,90
-9.147315299,38.71173725,741,Misericordia,"21866: R O Seculo, 12",Lixos,CV0090,90,1,90
-9.146424706,38.71054695,959,Misericordia,"21966: R Marechal Saldanha, 26-26/A",Lixos,CV0140,140,3,420
-9.146424706,38.71054695,960,Misericordia,"21966: R Marechal Saldanha, 26-26/A",Lixos,CV0140,140,3,420
-9.146424706,38.71054695,961,Misericordia,"21966: R Marechal Saldanha, 26-26/A",Organicos,CV0140,140,1,140
-9.146424706,38.71054695,962,Misericordia,"21966: R Marechal Saldanha, 26-26/A",Vidro,CV0140,140,1,140
-9.144977831,38.71066759,963,Misericordia,"21967: R Loreto, 57-59",Organicos,CV0140,140,1,140
-9.143233746,38.70764706,906,Misericordia,"21944: R Ferragial, 33-B",Vidro,CV0240,240,1,240
-9.143233746,38.70764706,907,Misericordia,"21944: R Ferragial, 33-B",Organicos,CV0240,240,1,240
-9.148416742,38.70752102,880,Misericordia,"21932: R Dom Luis I, 7-9",Embalagens,CV0240,240,1,240
-9.148416742,38.70752102,881,Misericordia,"21932: R Dom Luis I, 7-9",Papel e Cartao,CV0240,240,1,240
-9.146202328,38.70782851,789,Misericordia,"21889: Tv Carvalho, 27-27/A",Vidro,CV0090,90,1,90
-9.146202328,38.70782851,790,Misericordia,"21889: Tv Carvalho, 27-27/A",Vidro,CV0090,90,1,90
-9.142597828,38.70902175,869,Misericordia,"21925: R Antonio Maria Cardoso, 31/33/35",Papel e Cartao,CV0090,90,1,90
-9.142597828,38.70902175,870,Misericordia,"21925: R Antonio Maria Cardoso, 31/33/35",Lixos,CV0140,140,1,140
-9.142597828,38.70902175,871,Misericordia,"21925: R Antonio Maria Cardoso, 31/33/35",Lixos,CV0140,140,1,140
-9.145845743,38.71025471,874,Misericordia,"21927: Tv Sequeiro, Jt 8",Lixos,CV0240,240,5,1200
-9.145845743,38.71025471,875,Misericordia,"21927: Tv Sequeiro, Jt 8",Lixos,CV0240,240,5,1200
-9.144084572,38.71172925,898,Misericordia,"21939: R Diario de Noticias, 40-B",Organicos,CV0240,240,1,240
-9.152256635,38.71400022,912,Misericordia,"21949: R Quintinha, 70-B",Organicos,CV0140,140,1,140
-9.152256635,38.71400022,913,Misericordia,"21949: R Quintinha, 70-B",Vidro,CV0140,140,1,140
